165088,1,1,4,1,1,1,1,1,1,2,4,3,2,3,3,2,2,3,2,3,2
800193,11,7,8,11,11,11,11,11,11,11,11,10,10,10,10,10,10,9,10,10,10
352389,4,8,6,4,4,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1
1652577,9,11,11,9,9,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11
628521,10,9,9,10,10,9,9,9,9,9,8,8,7,8,8,8,8,7,8,8,9
340842,2,5,5,5,5,6,6,7,8,7,7,7,9,7,7,7,7,8,7,6,6
1635342,4,2,1,6,7,8,8,8,7,5,5,4,4,4,4,4,5,4,6,5,5
473487,7,3,2,3,3,5,3,3,3,4,6,6,6,5,5,5,4,6,4,4,4
660666,6,6,7,7,6,4,4,4,5,3,2,1,3,2,2,3,3,2,3,2,3
346653,3,4,3,2,2,3,5,5,4,6,3,5,5,6,6,6,6,5,5,7,7
1640192,8,10,10,8,8,7,7,6,6,8,9,9,8,9,9,9,9,10,9,9,8
