165088,57,36,67,82,56,35,38,27,31,42,57,67,46,37,63,66,54,39,44,61,65,34,67,82,36,46,59,58,43,32,66,52,66,45,31,130
800193,29,43,44,28,29,36,40,35,50,24,61,44,38,40,78,46,67,48,20,68,43,26,58,82,47,40,71,41,51,26,40,41,79,75,40,82
352389,45,26,77,70,35,57,46,32,37,54,59,63,43,102,62,58,78,56,34,76,61,32,69,86,50,51,56,47,45,38,62,70,61,69,58,136
1652577,35,26,29,66,37,34,39,28,43,28,57,21,31,30,53,32,51,29,18,42,53,35,19,77,32,46,52,46,46,38,35,40,51,56,36,81
628521,33,35,38,45,40,52,29,37,36,46,69,39,54,37,52,61,50,57,37,43,36,63,41,35,61,48,76,45,36,40,60,46,74,36,31,63
340842,50,32,71,58,28,39,40,37,20,39,47,36,28,70,66,47,53,36,53,76,62,49,75,83,34,42,43,41,44,41,52,34,48,34,27,79
1635342,45,44,80,32,21,33,47,30,51,64,65,41,46,45,60,58,46,54,18,70,52,49,60,72,54,46,66,50,48,34,70,43,63,27,35,50
473487,40,48,79,66,24,48,47,29,46,32,58,35,38,53,60,49,66,38,52,53,67,31,73,68,26,46,44,43,55,47,57,61,56,64,36,85
660666,41,37,58,49,55,59,42,28,33,57,73,66,31,76,32,49,59,53,29,72,45,45,61,42,26,44,55,36,41,44,54,49,42,26,39,92
346653,47,39,80,72,34,35,41,30,41,40,79,27,50,51,52,47,69,52,29,37,55,43,72,83,56,48,44,46,45,34,58,56,57,60,36,100
1640192,36,29,36,72,46,57,37,46,25,29,45,38,51,38,48,52,47,38,55,40,51,30,32,100,43,41,28,32,51,47,60,60,24,59,48,76
